Soil_Moisture,Crop_Growth_Stage,sol_chaud_sec,Mulching_Used,Wind_Speed_kmh,Rainfall_mm,Temperature_C,besoin_eau
54.31,3,7.794713999999999,1,9.46,748.37,17.06,0
34.57,0,24.719454,1,12.15,985.89,37.78,1
18.92,1,20.35108,1,9.22,32.55,25.1,1
47.57,2,12.462611,0,7.45,530.43,23.77,0
49.29,1,13.331659,1,3.91,453.17,26.29,0
43.49,1,11.69757,0,13.41,2440.01,20.7,0
17.26,2,18.335184,1,19.78,13.44,22.16,1
64.89,1,5.059351,1,2.87,2473.41,14.41,0
34.9,3,21.945210000000003,0,13.08,468.91,33.71,1
16.98,0,29.43059000000001,0,0.56,2203.51,35.45,1
18.74,2,18.340382,0,5.53,1518.09,22.57,0
63.18,3,5.206348,1,7.42,1961.97,14.14,0
52.92,1,17.735036,0,2.62,2102.16,37.67,0
48.86,0,14.089070000000005,0,11.12,274.09,27.55,1
17.84,0,10.828688,0,1.17,440.97,13.18,1
30.56,3,24.415104,1,0.73,743.8,35.16,0
30.55,2,26.939655,1,17.94,1887.67,38.79,0
60.59,0,6.940101,0,1.22,797.25,17.61,0
32.04,1,27.809232,1,3.58,939.98,40.92,0
18.8,1,29.87348,0,12.15,1320.26,36.79,1
59.62,2,8.604978000000001,0,19.74,296.37,21.31,1
32.52,1,21.18872,1,16.72,2249.64,31.4,0
15.19,1,29.725905,0,17.32,767.86,35.05,1
32.86,0,14.555952,1,8.99,723.95,21.68,0
26.07,0,26.356045,0,2.07,295.48,35.65,1
33.07,2,14.041914,0,7.22,2127.28,20.98,0
54.47,0,8.350202000000001,1,9.46,2057.97,18.34,0
10.79,2,27.173366,1,15.92,2376.32,30.46,1
34.05,1,10.914725,1,10.87,2277.85,16.55,0
52.18,0,13.929966,1,8.92,2355.99,29.13,0
12.55,1,25.203090000000003,0,18.58,2058.21,28.82,1
45.03,0,14.825409,0,1.9,496.71,26.97,0
29.65,3,20.62662,1,16.69,196.24,29.32,1
35.99,2,22.160262,1,17.69,1340.24,34.62,0
60.35,0,15.439709999999998,1,18.47,1194.28,38.94,1
39.36,3,20.757072,0,1.47,1815.84,34.23,1
32.06,2,9.762978,0,12.63,2037.78,14.37,0
49.56,1,18.223972,0,17.46,852.15,36.13,0
36.03,3,17.201532999999998,1,12.97,463.66,26.89,0
29.39,2,22.934128,0,19.96,1719.18,32.48,0
11.59,3,18.053322,1,5.63,1647.67,20.42,1
29.16,0,29.511943999999996,0,7.99,459.0,41.66,1
44.91,3,21.804622,0,15.71,248.16,39.58,1
63.04,1,13.50888,0,5.65,1716.75,36.55,0
62.53,1,13.196934,1,14.84,1349.42,35.22,0
47.54,0,17.033762,0,18.64,1914.71,32.47,1
55.89,3,9.814475000000002,1,18.51,437.01,22.25,0
44.33,0,9.118746,0,13.3,943.12,16.38,1
30.6,2,28.54422,1,2.86,19.07,41.13,0
10.65,2,15.162694999999998,1,14.47,1151.44,16.97,0
52.45,3,5.715509999999999,1,7.23,1234.78,12.02,0
33.63,3,22.837917,1,1.07,2349.28,34.41,0
34.78,2,15.150606,0,17.56,1769.17,23.23,0
39.25,0,22.5018,0,12.95,386.59,37.04,1
40.42,3,8.770176000000001,0,6.82,2321.75,14.72,0
32.97,3,19.378373,1,4.73,269.96,28.91,1
16.05,3,10.518935,1,0.51,362.24,12.53,1
46.95,1,14.62058,0,5.83,1271.51,27.56,0
9.25,0,19.8924,1,2.66,1306.52,21.92,1
18.04,0,11.031816,0,1.45,88.61,13.46,1
34.34,2,14.885122,1,4.97,467.51,22.67,0
33.65,3,10.90794,1,2.56,1419.39,16.44,0
34.05,2,19.13869,0,2.18,1107.78,29.02,0
33.51,1,13.198265,0,16.99,1453.62,19.85,0
38.98,0,16.029954,1,10.21,786.98,26.27,0
43.91,3,18.599444,0,13.75,994.25,33.16,1
56.52,3,11.335235999999998,0,6.39,934.41,26.07,0
43.02,2,12.552694,1,6.6,2327.8,22.03,0
56.14,2,16.070304,0,6.48,286.77,36.64,1
8.45,2,13.60433,0,6.62,1689.06,14.86,0
11.7,3,14.28694,1,17.54,2041.37,16.18,1
63.4,0,14.11662,1,3.26,536.79,38.57,0
20.75,1,29.9248,0,9.67,2097.28,37.76,1
47.92,2,9.067128,1,17.52,497.88,17.41,0
16.88,2,14.404696,0,6.14,1120.2,17.33,0
46.07,3,12.948593,1,16.15,74.53,24.01,1
17.29,1,32.612553,1,0.69,937.09,39.43,0
31.75,0,22.897875,1,5.96,1311.77,33.55,0
60.64,0,13.543775999999998,1,16.09,1375.78,34.41,1
62.35,0,7.612829999999999,1,9.32,1733.2,20.22,0
12.77,3,13.206622,1,13.04,1515.67,15.14,1
21.1,3,23.60688,1,19.03,1339.8,29.92,1
15.36,2,32.154736,0,8.73,1566.25,37.99,1
58.56,2,13.92384,0,11.88,2129.8,33.6,0
9.46,0,12.250062,0,3.74,1407.77,13.53,1
30.52,1,15.473196000000002,1,18.25,740.51,22.27,0
36.91,0,17.324514,0,14.87,711.07,27.46,1
36.99,0,8.531554,0,19.25,1419.36,13.54,1
38.16,2,14.526216,0,3.67,1100.26,23.49,0
28.13,2,19.97986,0,4.78,394.02,27.8,0
64.13,3,14.344413,0,2.67,631.29,39.99,1
30.04,1,21.176892,0,13.63,2140.21,30.27,0
26.04,2,29.532228,0,5.43,169.34,39.93,1
20.61,2,17.441983,1,8.18,1226.42,21.97,0
53.25,3,10.33175,0,7.93,124.35,22.1,1
57.87,0,16.144216,0,13.13,1537.86,38.32,1
32.55,2,26.453890000000005,0,4.55,2072.12,39.22,0
39.46,3,10.679256,1,2.42,2196.25,17.64,0
37.09,0,21.622167,1,5.65,1211.36,34.37,0
47.51,3,19.9462,0,18.57,2443.08,38.0,1
41.46,1,18.188378,0,19.79,2469.32,31.07,0
11.67,0,17.621834999999997,1,11.49,326.0,19.95,1
40.4,2,20.854040000000005,1,17.99,783.8,34.99,0
40.73,2,19.44056,1,9.04,1167.5,32.8,0
59.94,0,7.919862000000001,0,5.59,1490.89,19.77,0
29.49,2,26.772647000000003,0,16.38,393.78,37.97,0
42.3,3,12.982499999999998,1,0.55,2335.85,22.5,0
17.75,2,12.888575,1,19.18,1440.17,15.67,0
41.21,1,17.654637,0,17.41,876.88,30.03,0
45.41,1,18.566059,1,19.83,526.6,34.01,0
26.79,1,22.760989,1,15.97,385.72,31.09,0
30.31,0,9.33846,1,9.61,1190.63,13.4,0
28.85,2,9.66217,1,15.75,123.95,13.58,0
28.51,3,9.429531,1,14.35,1774.25,13.19,0
36.71,0,17.949044,0,3.87,830.3,28.36,0
19.01,0,12.245688,1,11.3,2466.59,15.12,1
31.27,3,14.591379,1,15.71,2142.89,21.23,0
37.97,0,23.174408000000003,0,9.79,464.28,37.36,1
32.46,0,14.615656,0,12.06,92.08,21.64,1
41.61,1,19.910990000000005,0,1.43,2266.57,34.1,0
58.73,0,11.555600000000002,0,7.38,1459.12,28.0,0
13.79,1,11.327994,0,3.05,2084.89,13.14,0
44.74,0,7.205903999999999,1,13.83,1896.25,13.04,0
51.83,0,18.246796000000003,0,16.3,2130.99,37.88,1
9.15,2,25.89225,1,2.21,2108.5,28.5,0
11.2,3,36.9408,1,12.1,2011.32,41.6,1
32.05,0,9.98865,0,8.04,2124.73,14.7,0
47.98,0,16.17822,0,3.24,231.7,31.1,1
34.58,3,27.031544,0,19.39,853.15,41.32,1
58.43,2,11.743524999999998,0,12.14,1035.1,28.25,0
26.57,0,21.573734,0,4.67,1265.34,29.38,0
43.66,1,19.617588,1,9.29,1122.1,34.82,0
14.3,3,24.77587,1,7.52,1080.46,28.91,1
33.83,3,8.205079999999999,0,4.88,1367.19,12.4,0
45.24,3,12.890503999999998,0,7.99,1204.54,23.54,0
47.45,0,7.682809999999999,0,7.61,742.22,14.62,0
57.8,3,5.1695,1,10.89,228.78,12.25,1
21.19,2,17.550987,0,8.66,2386.08,22.27,0
48.35,0,18.56301,0,17.53,1768.02,35.94,1
28.3,2,20.84319,1,13.34,1483.79,29.07,0
21.99,0,14.494258,0,16.32,1083.37,18.58,1
48.62,2,13.579734,0,11.23,2049.28,26.43,0
14.3,1,10.60109,0,18.65,2.18,12.37,1
51.98,2,6.117748000000001,0,5.87,747.16,12.74,0
10.93,3,30.159102,0,16.61,2133.99,33.86,1
51.95,1,18.76833,1,15.59,1229.14,39.06,0
47.4,3,12.27684,0,17.34,2422.87,23.34,1
62.94,3,13.400896,1,15.56,2445.22,36.16,1
12.75,2,32.474450000000004,1,11.44,306.26,37.22,1
29.16,3,28.661864,0,19.04,80.91,40.46,1
10.59,3,13.14327,1,15.97,565.52,14.7,1
44.58,0,18.560158,0,13.19,1108.03,33.49,1
38.58,1,11.491682000000004,0,1.1,1169.81,18.71,0
32.73,1,8.973818000000001,1,15.54,2424.23,13.34,0
18.73,0,12.889422,0,15.68,1682.44,15.86,1
55.48,3,6.459852000000001,0,16.07,181.52,14.51,1
8.51,1,12.159021,1,15.9,353.79,13.29,0
36.01,0,23.29236,0,16.15,1648.83,36.4,1
26.04,1,29.384308,0,2.64,681.65,39.73,0
60.27,2,9.634525,0,15.28,1290.25,24.25,0
18.89,0,29.183377999999998,1,14.71,169.11,35.98,1
49.32,1,12.168268,1,8.27,1644.92,24.01,0
53.17,2,15.753612,1,12.29,2078.03,33.64,0
41.63,0,13.395915,0,4.08,792.27,22.95,0
61.65,2,6.051630000000001,0,17.62,417.6,15.78,0
56.88,1,13.186096,1,16.67,1407.77,30.58,0
45.17,2,18.077451,0,9.37,952.73,32.97,0
33.58,3,23.997546000000003,1,14.72,353.94,36.13,1
47.48,2,11.643684000000004,0,0.97,545.3,22.17,0
16.78,0,20.064342,0,1.4,171.29,24.11,1
17.49,1,10.998583,1,4.31,37.87,13.33,1
46.99,2,20.573181,1,8.81,2455.38,38.81,0
47.76,3,14.245848,1,3.36,2303.99,27.27,0
46.11,3,18.683663,1,18.02,2272.27,34.67,1
44.1,3,15.495479999999995,1,11.01,1640.47,27.72,0
49.86,3,13.297128,0,1.76,2277.0,26.52,0
34.62,0,14.586278,1,12.59,2164.73,22.31,0
52.37,0,16.132281,0,10.5,789.83,33.87,1
17.05,3,24.229695,0,10.88,781.74,29.21,1
53.52,3,8.747536,1,11.26,1310.06,18.82,0
23.43,2,12.63405,0,7.69,1057.62,16.5,0
63.13,0,8.550153000000002,0,5.78,641.51,23.19,0
56.57,1,13.363411,1,16.14,1140.1,30.77,0
49.17,3,8.056555,0,14.37,1574.74,15.85,1
11.27,0,23.965973,0,8.28,702.4,27.01,1
13.11,3,31.636649,0,13.49,1044.67,36.41,1
12.33,0,17.034281,1,4.4,1980.69,19.43,1
10.67,0,32.435723,1,6.1,568.94,36.31,1
16.87,2,10.466067,1,4.29,1067.91,12.59,0
59.26,2,13.0368,1,4.08,2212.97,32.0,0
52.82,0,19.15508,1,17.64,2492.86,40.6,1
43.62,1,11.276000000000002,0,13.44,1070.85,20.0,0
27.66,0,29.558124000000003,0,1.91,2402.61,40.86,1
40.35,2,9.544,1,17.27,226.7,16.0,0
32.12,1,25.461788,1,11.07,1505.38,37.51,0
57.21,0,11.501951999999998,1,12.55,1.64,26.88,1
39.18,0,21.591100000000004,0,1.15,1400.08,35.5,1
9.57,2,20.220148,1,15.72,471.56,22.36,0
33.33,2,18.767605,1,12.49,262.35,28.15,0
60.01,1,6.418395000000001,0,14.52,1253.55,16.05,0
56.37,2,10.95113,1,18.55,2347.36,25.1,0
26.8,2,13.717679999999998,0,4.94,2162.61,18.74,0
25.57,3,10.799793,0,14.59,2028.54,14.51,1
36.63,0,16.140338999999997,1,15.09,380.56,25.47,0
11.63,0,29.100241,0,9.04,2482.25,32.93,1
38.14,3,25.139904,1,14.16,2335.75,40.64,1
23.74,2,9.715524,1,16.22,2359.89,12.74,0
62.88,0,8.879104,1,4.31,876.51,23.92,0
62.62,1,6.006966,0,1.73,590.07,16.07,0
27.0,1,17.746299999999998,0,14.89,2189.41,24.31,0
45.6,3,11.90272,0,8.8,320.99,21.88,0
50.73,2,9.794876,1,1.0,1173.85,19.88,0
58.38,0,6.43029,1,7.94,823.65,15.45,0
34.04,2,16.245948,0,7.33,506.75,24.63,0
42.4,2,15.672960000000002,1,2.62,254.9,27.21,0
57.41,0,17.197842000000005,1,18.33,695.97,40.38,1
16.69,0,18.969687,0,1.11,1102.33,22.77,1
8.68,2,18.830184000000003,1,5.88,1846.92,20.62,0
27.47,2,20.569508000000003,0,18.98,156.71,28.36,1
20.97,3,13.703802,0,12.59,1722.05,17.34,1
55.15,0,18.321225,1,4.79,2218.95,40.85,0
36.99,2,24.838542,0,13.2,838.9,39.42,0
50.08,3,19.199232,0,14.32,1844.81,38.46,1
30.62,2,23.297804,0,18.91,372.71,33.58,0
17.71,1,12.434019,0,1.67,1378.35,15.11,0
43.21,2,13.822686,0,13.1,2141.87,24.34,0
24.2,1,12.00672,1,10.28,831.77,15.84,0
10.79,0,23.123232,0,11.16,51.82,25.92,1
16.04,3,33.533624,1,3.99,127.17,39.94,1
8.22,2,31.930262,0,17.47,911.07,34.79,1
28.0,0,14.903999999999998,1,18.35,1726.66,20.7,0
35.9,1,8.589400000000001,0,15.91,1890.76,13.4,0
10.56,0,23.996752,1,6.88,1214.23,26.83,1
19.43,3,10.530499,0,13.27,108.6,13.07,1
18.1,3,21.28581,0,6.78,1832.17,25.99,1
35.94,3,21.71634,1,8.33,1927.63,33.9,0
46.48,3,21.124344,0,0.53,811.92,39.47,1
15.79,0,33.220845000000004,0,16.45,1341.94,39.45,1
35.4,1,23.65006,0,18.85,1748.91,36.61,0
25.69,2,25.629519,0,14.86,77.04,34.49,1
52.16,2,13.17992,0,0.81,48.37,27.55,0
58.23,3,7.050776000000001,1,16.27,1576.51,16.88,0
11.52,1,28.189728,0,4.83,880.48,31.86,1
63.01,1,4.612653,1,13.39,475.76,12.47,0
54.65,1,5.886430000000001,0,12.96,1360.32,12.98,0
52.16,2,7.640048000000001,0,6.35,2125.41,15.97,0
9.77,2,33.764066,1,15.56,179.93,37.42,1
8.76,3,19.817328,0,0.85,2278.41,21.72,1
31.04,2,10.261248,1,17.0,1375.23,14.88,0
11.99,1,29.377738,1,17.41,1228.33,33.38,1
34.26,0,22.673726,1,6.57,1827.0,34.49,0
64.63,1,10.412928,0,8.89,55.25,29.44,0
50.71,3,9.517899,1,3.62,2397.87,19.31,0
35.52,3,19.111872,0,7.62,2157.97,29.64,0
31.05,1,23.81533,1,5.36,2405.52,34.54,0
49.22,2,10.140766,0,19.56,582.13,19.97,0
14.36,3,15.963296,0,5.57,1365.02,18.64,1
31.28,2,8.260144,1,9.17,2122.06,12.02,0
55.0,0,16.042499999999997,1,2.72,372.08,35.65,0
30.11,1,24.440533,0,9.95,2365.18,34.97,0
39.5,3,23.55265,1,3.64,1642.63,38.93,0
48.54,2,6.957391999999999,0,7.42,703.41,13.52,0
52.46,1,7.749020000000001,0,2.5,2219.99,16.3,0
55.15,1,18.357105,1,7.0,1766.57,40.93,0
20.53,0,30.715155,1,13.37,1031.47,38.65,1
50.75,2,17.533,0,5.05,1987.72,35.6,0
58.23,2,14.928598000000004,0,17.44,1568.65,35.74,0
52.22,2,8.79152,0,17.73,51.65,18.4,1
25.19,2,13.518167,0,2.53,2091.66,18.07,0
27.19,0,13.593627,0,16.58,2449.21,18.67,1
44.0,1,20.7648,0,8.78,1456.34,37.08,0
38.56,2,20.987904,0,17.27,1114.81,34.16,0
8.56,3,35.93592,1,11.28,500.72,39.3,1
31.2,3,24.96064,1,15.85,85.68,36.28,1
34.66,0,15.655464,1,3.5,814.99,23.96,0
38.44,1,16.042536000000002,0,12.33,836.34,26.06,0
57.52,2,13.304735999999998,1,18.57,469.77,31.32,0
46.84,1,11.280551999999998,1,16.61,2205.25,21.22,0
46.92,3,13.991887999999998,1,7.13,1174.1,26.36,0
43.79,1,14.991207000000005,1,6.57,2325.11,26.67,0
55.24,3,7.336164,0,9.1,20.03,16.39,1
47.77,3,6.408620999999999,1,7.16,268.68,12.27,1
38.36,3,24.107404,0,12.78,1854.68,39.11,1
8.91,1,37.583734,0,16.49,1144.18,41.26,1
50.86,0,17.022096,0,0.94,2374.61,34.64,1
26.71,0,17.838786,1,9.88,2040.6,24.34,0
38.94,3,24.075958,0,3.93,956.3,39.43,1
49.29,2,9.300214,0,8.55,340.06,18.34,0
62.01,1,13.82836,0,12.31,1274.86,36.4,0
9.52,3,32.871384,1,2.74,1158.81,36.33,1
62.64,2,11.884216,1,1.94,50.34,31.81,0
42.11,2,7.942508,0,10.59,1713.21,13.72,0
8.75,2,22.72125,1,10.9,819.81,24.9,0
45.7,2,14.194019999999998,1,2.95,1182.68,26.14,0
63.39,1,8.775417,0,3.69,1977.19,23.97,0
56.35,2,14.234265,0,5.25,1749.88,32.61,0
17.11,3,26.964117,1,2.39,1354.61,32.53,1
19.2,2,22.00992,1,9.36,227.92,27.24,1
44.85,0,19.032265,1,16.03,1881.32,34.51,1
63.23,0,8.037922,0,1.55,681.36,21.86,0
16.96,3,32.576592,0,14.55,1170.26,39.23,1
56.9,0,10.094020000000002,0,4.92,502.92,23.42,0
35.49,3,13.837395,0,19.11,229.61,21.45,1
36.22,0,12.826158,1,15.08,941.8,20.11,0
31.43,0,17.156214,0,16.27,1472.45,25.02,1
54.38,2,9.954284,1,12.98,1933.76,21.82,0
54.59,1,15.275923999999998,1,13.99,1021.67,33.64,0
42.08,3,20.544224,1,6.59,279.53,35.47,1
33.31,0,18.699876,1,9.05,5.18,28.04,1
22.54,2,32.331804,1,2.1,1885.37,41.74,0
31.65,3,19.924025,0,10.4,973.72,29.15,1
46.14,1,20.779188,0,8.58,1207.5,38.58,0
36.96,2,20.557344,0,18.6,233.54,32.61,1
62.99,2,11.291751,1,10.84,2403.53,30.51,0
47.51,2,12.450628,1,8.61,875.07,23.72,0
62.21,2,4.961827,0,7.67,534.74,13.13,0
33.01,3,9.666657,1,17.46,947.96,14.43,0
51.8,3,6.9167,0,2.92,1857.54,14.35,0
23.44,0,31.297728,1,18.05,2175.28,40.88,1
52.65,0,6.586385000000001,0,14.15,1707.57,13.91,1
42.76,1,21.075768,0,17.73,9.25,36.82,1
56.68,0,12.86604,0,10.03,249.37,29.7,1
16.78,0,26.555502,0,10.28,2204.49,31.91,1
10.42,2,23.792448,1,2.13,704.78,26.56,0
33.86,2,18.558884,0,7.38,573.38,28.06,0
59.85,2,8.234765,0,7.02,1088.07,20.51,0
53.2,1,8.83584,1,11.45,2405.91,18.88,0
19.12,1,29.464584,1,15.62,2085.88,36.43,1
28.24,0,19.51872,0,2.6,1309.23,27.2,0
8.69,3,11.340702,0,19.94,105.82,12.42,1
11.2,0,36.57672,0,6.85,1764.08,41.19,1
24.25,2,13.112325,1,1.23,194.28,17.31,1
37.04,3,15.362239999999998,1,7.42,1687.03,24.4,0
58.68,3,7.735104,1,6.59,1163.07,18.72,0
60.75,2,12.100775,1,19.65,212.0,30.83,1
26.94,0,16.270462,0,15.11,1309.64,22.27,1
35.78,1,17.21096,1,16.49,502.02,26.8,0
65.0,1,7.4445,1,10.01,1097.07,21.27,0
57.2,3,7.721119999999998,1,3.53,1640.2,18.04,0
60.13,0,14.799743999999995,1,13.59,277.07,37.12,1
41.91,2,9.997289,0,17.56,1442.37,17.21,0
9.39,2,30.182191000000003,0,1.16,240.38,33.31,1
52.16,0,16.260816000000002,0,6.91,1994.39,33.99,1
26.16,3,25.238512,1,18.79,972.86,34.18,1
12.37,1,26.832306,1,19.12,83.53,30.62,1
9.38,2,26.180118,0,10.26,1731.69,28.89,1
21.01,1,26.801307,1,14.3,2117.74,33.93,1
13.76,3,17.498096,0,4.32,1207.57,20.29,1
61.31,2,7.656751,0,12.66,1671.13,19.79,0
19.85,3,26.088825,0,0.57,1365.66,32.55,1
56.99,1,13.333099999999998,1,12.09,251.3,31.0,1
11.67,2,19.16761,0,4.66,232.34,21.7,1
28.84,2,27.901836,0,7.91,1315.74,39.21,0
19.41,2,22.194486,1,15.33,1776.18,27.54,0
20.08,1,28.587384000000004,0,7.93,1751.92,35.77,1
13.56,0,27.219956,0,10.58,1227.81,31.49,1
43.25,2,12.547425,1,11.29,2180.55,22.11,0
17.06,3,27.975662,0,4.6,222.22,33.73,1
47.02,2,19.644984,1,6.59,2044.68,37.08,0
59.2,2,7.413359999999999,0,10.86,1138.29,18.17,0
27.77,3,28.343052,1,11.33,1952.36,39.24,1
50.73,3,14.697241,0,8.38,832.28,29.83,0
46.9,1,11.15631,0,19.45,1996.79,21.01,0
16.67,3,34.240297,0,11.45,856.1,41.09,1
64.28,2,12.827051999999997,0,3.6,934.61,35.91,0
48.41,1,11.81411,0,0.72,823.7,22.9,0
45.14,3,19.563076,1,1.39,1644.71,35.66,0
24.75,1,20.72385,1,2.42,1345.67,27.54,0
59.78,3,14.503332,1,17.89,2215.89,36.06,1
56.3,0,7.175540000000002,1,18.16,1898.87,16.42,0
53.12,2,5.90688,0,10.49,2218.63,12.6,0
58.79,1,8.6541,0,11.13,2191.47,21.0,0
20.15,2,22.358,1,7.86,84.74,28.0,1
37.43,2,13.052101999999998,1,18.3,1450.81,20.86,0
49.67,3,19.266324,0,17.94,1352.18,38.28,1
42.23,2,12.241463000000005,1,1.67,320.05,21.19,0
